"Plant_id";"Plant_sp";"Plot";"Month";"X";"Y";"Plant_sp_complete"
"1";"UPAR";"A";1;"721878.785";"4099210.022";"Ulex_parviflorus"
"100";"ROFF";"F";1;"721724.635";"4098190.902";"Rosmarinus_officinalis"
"100";"ROFF";"F";2;"721724.635";"4098190.902";"Rosmarinus_officinalis"
"101";"ROFF";"F";1;"721728.607";"4098183.493";"Rosmarinus_officinalis"
"101";"ROFF";"F";2;"721728.607";"4098183.493";"Rosmarinus_officinalis"
"102";"ROFF";"F";1;"721719.776";"4098180.772";"Rosmarinus_officinalis"
"102";"ROFF";"F";2;"721719.776";"4098180.772";"Rosmarinus_officinalis"
"103";"ROFF";"F";1;"721726.587";"4098173.095";"Rosmarinus_officinalis"
"103";"ROFF";"F";2;"721726.587";"4098173.095";"Rosmarinus_officinalis"
"104";"ROFF";"F";1;"721715.233";"4098168.784";"Rosmarinus_officinalis"
"104";"ROFF";"F";2;"721715.233";"4098168.784";"Rosmarinus_officinalis"
"106";"HCOM";"A";1;"721889.552";"4099213.451";"Halimium_commutatum"
"106";"HCOM";"A";2;"721889.552";"4099213.451";"Halimium_commutatum"
"107";"HCOM";"A";1;"721884.209";"4099205.798";"Halimium_commutatum"
"109";"HCOM";"A";1;"721880.759";"4099208.092";"Halimium_commutatum"
"11";"UPAR";"A";1;"721885.816";"4099216.119";"Ulex_parviflorus"
"110";"HCOM";"A";1;"721887.095";"4099209.896";"Halimium_commutatum"
"111";"HCOM";"A";1;"721880.77";"4099211.938";"Halimium_commutatum"
"112";"HCOM";"A";1;"721881.546";"4099221.112";"Halimium_commutatum"
"112";"HCOM";"A";2;"721881.546";"4099221.112";"Halimium_commutatum"
"113";"HCOM";"A";1;"721883.703";"4099214.663";"Halimium_commutatum"
"113";"HCOM";"A";2;"721883.703";"4099214.663";"Halimium_commutatum"
"114";"HCOM";"A";1;"721885.932";"4099222.86";"Halimium_commutatum"
"114";"HCOM";"A";2;"721885.932";"4099222.86";"Halimium_commutatum"
"115";"HCOM";"A";1;"721873.622";"4099211.143";"Halimium_commutatum"
"115";"HCOM";"A";2;"721873.622";"4099211.143";"Halimium_commutatum"
"116";"HCOM";"A";1;"721886.51";"4099213.121";"Halimium_commutatum"
"116";"HCOM";"A";2;"721886.51";"4099213.121";"Halimium_commutatum"
"117";"HCOM";"A";1;"721890.194";"4099220.479";"Halimium_commutatum"
"117";"HCOM";"A";2;"721890.194";"4099220.479";"Halimium_commutatum"
"118";"HCOM";"A";1;"721878.478";"4099211.668";"Halimium_commutatum"
"118";"HCOM";"A";2;"721878.478";"4099211.668";"Halimium_commutatum"
"119";"HCOM";"A";1;"721878.641";"4099208.519";"Halimium_commutatum"
"120";"HCOM";"A";2;"721888.862";"4099207.523";"Halimium_commutatum"
"120";"HCOM";"A";1;"721888.862";"4099207.523";"Halimium_commutatum"
"121";"HCOM";"B";1;"721865.925";"4099090.048";"Halimium_commutatum"
"121";"HCOM";"B";2;"721865.925";"4099090.048";"Halimium_commutatum"
"122";"HCOM";"B";1;"721868.92";"4099092.3";"Halimium_commutatum"
"123";"HCOM";"B";1;"721868.254";"4099085.666";"Halimium_commutatum"
"123";"HCOM";"B";2;"721868.254";"4099085.666";"Halimium_commutatum"
"124";"HCOM";"B";1;"721861.251";"4099083.71";"Halimium_commutatum"
"125";"HCOM";"B";2;"721861.885";"4099088.554";"Halimium_commutatum"
"125";"HCOM";"B";1;"721861.885";"4099088.554";"Halimium_commutatum"
"126";"HCOM";"B";1;"721873.471";"4099091.936";"Halimium_commutatum"
"126";"HCOM";"B";2;"721873.471";"4099091.936";"Halimium_commutatum"
"127";"HCOM";"B";2;"721873.395";"4099097.963";"Halimium_commutatum"
"127";"HCOM";"B";1;"721873.395";"4099097.963";"Halimium_commutatum"
"128";"HCOM";"B";1;"721871.44";"4099081.408";"Halimium_commutatum"
"128";"HCOM";"B";2;"721871.44";"4099081.408";"Halimium_commutatum"
"129";"HCOM";"B";1;"721873.53";"4099076.638";"Halimium_commutatum"
"129";"HCOM";"B";2;"721873.53";"4099076.638";"Halimium_commutatum"
"13";"UPAR";"A";1;"721885.772";"4099219.422";"Ulex_parviflorus"
"130";"HCOM";"B";1;"721875.541";"4099087.265";"Halimium_commutatum"
"130";"HCOM";"B";2;"721875.541";"4099087.265";"Halimium_commutatum"
"131";"HCOM";"B";1;"721861.789";"4099075.526";"Halimium_commutatum"
"132";"HCOM";"B";1;"721871.727";"4099085.668";"Halimium_commutatum"
"132";"HCOM";"B";2;"721871.727";"4099085.668";"Halimium_commutatum"
"133";"HCOM";"B";1;"721862.531";"4099092.303";"Halimium_commutatum"
"133";"HCOM";"B";2;"721862.531";"4099092.303";"Halimium_commutatum"
"134";"HCOM";"B";1;"721858.861";"4099087.16";"Halimium_commutatum"
"134";"HCOM";"B";2;"721858.861";"4099087.16";"Halimium_commutatum"
"135";"HCOM";"B";1;"721867.668";"4099080.277";"Halimium_commutatum"
"135";"HCOM";"B";2;"721867.668";"4099080.277";"Halimium_commutatum"
"136";"HCOM";"C";2;"721815.273";"4098790.489";"Halimium_commutatum"
